id|title|price|artwork_detail|edition_detail|dimensions|Category|image_name|main_image|image_hash|image_path
101|Tiger - Gold Leaf|£2500.00|Giclee Print With Gold Leaf and Silkscreen Glaze|Signed Limited Edition of 30|106.7cm x 122cm|editions|/usr/images/artworks/main_image/items/f81d/f81d40daea3c869242d1022e31d5e441/940tiger_gold.jpg|940tiger_gold.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/f81d/f81d40daea3c869242d1022e31d5e441/940tiger_gold.jpg|f81d40daea3c869242d1022e31d5e441
102|Credit Card|£1200.00|Silkscreen Print|Signed Limited Edition of 50|50cm x 50cm|editions|/usr/images/artworks/main_image/items/e10b/e10b6e750667cfc1c78d92027b26c1b5/LE0000870MCM940.jpg|LE0000870MCM940.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/e10b/e10b6e750667cfc1c78d92027b26c1b5/LE0000870MCM940.jpg|e10b6e750667cfc1c78d92027b26c1b5
103|Plaque (Orange)|SOLD|Resin|Signed Limited Edition of 12|23cm x 23cm|editions|/usr/images/artworks/main_image/items/6231/6231b0e27f7514986e43ddbb03ba6dd1/Stik,_Plaque_(Orange940).jpg|Stik,_Plaque_(Orange940).jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/6231/6231b0e27f7514986e43ddbb03ba6dd1/Stik,_Plaque_(Orange940).jpg|6231b0e27f7514986e43ddbb03ba6dd1
104|Framed Love Lenticular 1-4|£710.00|Lenticular |Signed Limited Edition of 75|62 × 62 cm|editions|/usr/images/artworks/main_image/items/7478/74780c52da8582468a3a236105f8995e/love_lenticular.jpg|love_lenticular.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/7478/74780c52da8582468a3a236105f8995e/love_lenticular.jpg|74780c52da8582468a3a236105f8995e
105|Floral Play No.2|£7500.00|Mono Print &amp; Screenprint on Wood Panel|Signed, Limited Edition of 3|100cm Circulate (Framed)|editions|/usr/images/artworks/main_image/items/81bc/81bca1370889740bbf703854a90ecf70/jackyTsai-Floral_Play940.jpg|jackyTsai-Floral_Play940.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/81bc/81bca1370889740bbf703854a90ecf70/jackyTsai-Floral_Play940.jpg|81bca1370889740bbf703854a90ecf70
106|For Richer For Poorer|£3000.00|A Single Cabinet of Expensive Items Made Up of Felt, Acrylic and Thread|Limited Edition of 50, Complete with Signed Certificate of Authenticity|77cm x 60cm x 12cm|editions|/usr/images/artworks/main_image/items/ede3/ede3c8f15f51fd8366d1ba0063167c3c/close_up-richer-and-poorer_940_(12_of_12).jpg|close_up-richer-and-poorer_940_(12_of_12).jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/ede3/ede3c8f15f51fd8366d1ba0063167c3c/close_up-richer-and-poorer_940_(12_of_12).jpg|ede3c8f15f51fd8366d1ba0063167c3c
107|Black Magic|SOLD|Silkscreen|Framed Signed Limited Edition of 30|137cm x 95cm |editions|/usr/images/artworks/main_image/items/bb08/bb08e5b2c4b21ff41c30a812a4380589/33155.jpg|33155.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/bb08/bb08e5b2c4b21ff41c30a812a4380589/33155.jpg|bb08e5b2c4b21ff41c30a812a4380589
108|Dreammood|SOLD|Surgical Blades in Resin with Gold Leaf on Wood and Aluminium|Signed Limited Edition of 8|90cm x 108cm (Framed)|editions|/usr/images/artworks/main_image/items/aeb4/aeb4771c28867574bbdfa5214c09508f/DMorangeE940.jpg|DMorangeE940.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/aeb4/aeb4771c28867574bbdfa5214c09508f/DMorangeE940.jpg|aeb4771c28867574bbdfa5214c09508f
109|Yes We Can Live In Peace|£600.00|Giclee with Silkscreen and Glazes |Signed, Limited Edition of 50|115cm x 82cm|editions|/usr/images/artworks/main_image/items/365d/365d9b7c42af1069c7bf157892420211/image004.jpg|image004.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/365d/365d9b7c42af1069c7bf157892420211/image004.jpg|365d9b7c42af1069c7bf157892420211
110|Who Cares Wins (Liberty)|SOLD|Silkscreen Print on 300gsm Somerset Velvet|Signed Limited Edition of 25|43.18cm X 58.42cm|editions|/usr/images/artworks/main_image/items/a1ae/a1aee55002d96df292ae89d4f793378d/harland-miller9401.jpg|harland-miller9401.jpg|/ClientDocuments/sites/lawrencealkin/usr/public/images/artworks/main_image/items/a1ae/a1aee55002d96df292ae89d4f793378d/harland-miller9401.jpg|a1aee55002d96df292ae89d4f793378d
